,MSE_qm_test,MAE_qm_test,lh_qm_test,MSE_cl_test,MAE_cl_test,lh_cl_test
0,0.06955604661330511,0.23128474057936954,1.3849139000969362,0.07282290761995429,0.23555098720417372,1.401689543301678
1,0.0719916618843789,0.23708011597106843,1.318269684734487,0.0770683149181745,0.24464565679159628,1.3388631693313782
2,0.09889786761146936,0.27643228081685234,2.2088952686051146,0.10332445114186954,0.28264815724139225,2.284854237017922
3,0.060036383298596986,0.2129228021310525,1.5332204614366427,0.0636590522410076,0.21817767385508707,1.5887678070923976
4,0.08037061152002674,0.23921733361717784,1.3702462878578234,0.08408368755369561,0.24331581589575663,1.386907171065792
5,0.07297234899694212,0.23492020203423886,1.7982913370826006,0.07746182582556856,0.2410318927507108,1.8624146936335855
6,0.0642056276096887,0.22029345133619832,1.4582683440726936,0.07134448528856029,0.23168622189018004,1.52002768748698
7,0.07352569509934724,0.23671778127475038,1.7618858389463234,0.07772855072896116,0.24323085007003403,1.819200146426268
8,0.07969379463918555,0.24406447914356486,1.5364842249996302,0.08657803721545314,0.25441574106055004,1.607452668362174
9,0.07092460590184417,0.22821376577181865,1.5352055040007158,0.07521742736147713,0.23368852555978625,1.5847158232403227
10,0.07582201439262344,0.24463594385883558,1.5125028773447537,0.08489643162385196,0.2604388902362965,1.610354627020981
11,0.07672513267642399,0.2427590838760101,1.6799863516514013,0.08127047437329991,0.2491254045275343,1.7070808273953368
12,0.07473697039452834,0.24144488058847438,1.5583715466731596,0.0791248208841004,0.24805558262235985,1.6404050943182995
13,0.0691407843079602,0.22810987290212648,1.5499357825476199,0.07372758271594988,0.2348755254605437,1.587392052747537
14,0.06829970062338415,0.22181491434419087,1.590723489456043,0.07362389408054328,0.22856807717894487,1.672597133920733
15,0.07589980819224104,0.24086399878729073,1.6182533886626125,0.08036943707420918,0.24784852453887565,1.6978256230359567
16,0.06688573816962498,0.2275916027376338,1.3178892037904875,0.07402799863215546,0.23835723207551737,1.3857510570106402
17,0.060267102872415365,0.21670885134502083,1.7140083072435366,0.06413547882479456,0.22260094833337618,1.7718726751335423
18,0.0802735071961991,0.24890295293093273,1.5244998413512505,0.08760673142772045,0.2618261215286264,1.6292386455776808
19,0.07641058652442917,0.23711597691757005,1.6696095427162934,0.08075539936029455,0.24413607895988623,1.7198517622272802
